country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,1/04/2022,-8,5,-25,-39,-8,5
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2/04/2022,-4,4,-14,-38,-4,3
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,3/04/2022,-4,5,-8,-35,-7,3
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,4/04/2022,-11,2,-20,-41,-10,5
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,5/04/2022,-11,2,-20,-39,-12,5
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,6/04/2022,-10,0,-25,-40,-13,6
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,7/04/2022,-12,0,-21,-41,-13,6
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,8/04/2022,-6,8,-24,-36,-11,5
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,9/04/2022,-2,7,-16,-30,-4,3
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,10/04/2022,-1,5,-5,-30,-7,2
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,11/04/2022,-4,7,-13,-40,-17,5
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,12/04/2022,-4,10,-18,-39,-18,6
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,13/04/2022,-1,10,-16,-39,-19,6
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,14/04/2022,8,36,-1,-36,-21,3
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,15/04/2022,-48,-60,28,-53,-78,18
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,16/04/2022,-2,23,12,-34,-21,3
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,17/04/2022,-21,-28,15,-33,-22,1
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,18/04/2022,-7,-2,13,-56,-73,14
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,19/04/2022,-7,10,-20,-41,-23,7
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,20/04/2022,-6,4,-5,-36,-21,6
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,21/04/2022,-7,5,-5,-40,-20,6
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,22/04/2022,-4,10,-17,-39,-19,6
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,23/04/2022,0,8,-3,-30,-6,2
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,24/04/2022,3,6,4,-28,-9,1
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,25/04/2022,-18,-22,13,-54,-74,17
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,26/04/2022,-6,19,-31,-38,-11,5
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,27/04/2022,-7,9,-26,-35,-8,5
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,28/04/2022,-6,9,-19,-35,-8,5
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,29/04/2022,-4,11,-19,-32,-6,4
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,30/04/2022,1,10,-11,-32,-2,3
